date,day,month,year,pm_2_5
2022-12-16,16,12,2022,12.61613477421284
2022-12-17,17,12,2022,8.862338034307639
2022-12-18,18,12,2022,7.34613346768918
2022-12-19,19,12,2022,8.203347325711952
2022-12-20,20,12,2022,5.837729160402503
2022-12-21,21,12,2022,13.281037668154738
2022-12-22,22,12,2022,16.347033365320186
2022-12-23,23,12,2022,14.87242349000458
2022-12-24,24,12,2022,14.87831774110062
2022-12-25,25,12,2022,15.257409235767526
2022-12-26,26,12,2022,12.524609326189834
2022-12-27,27,12,2022,16.07579802368901
2022-12-28,28,12,2022,18.926128760576017
2022-12-29,29,12,2022,19.42067292993364
2022-12-30,30,12,2022,17.5288437504409
